Name of Company,Account no (obitrax generated),Phone number,Address,Company City,Company State,Primary contact first name,Primary contact last name,Primary contact phone number,Email address
GAC CLEARING & FORWARDING NIGERIA LTD.                                                                                                                                                                  ,3010010002,'08000000000,"35,CreekRoad,Lagos",APAPA                                   ,LAGOS,JEROME                        ,ONYEAMA                       ,002348036665173     ,noemailaddress@thiscorporate.com
CHARVET NIG. LIMITED                                                                                                                                                                                    ,3010010003,'08000000000,"2-4,EdeStreet,Lagos",APAPA                                   ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
"CLEMARSUP LIMITED

(MRS OKOJIE)                                                                                                                                                                         ",3010010005,'08000000000,"Plot7,BlockH,OshodiInd.Estate,Oshodi-ApapaExpressWay,Lagos.",LAGOS                                   ,LAGOS,OKOJIE                        ,OKOJIE                        ,002347028836941     ,noemailaddress@thiscorporate.com
CARAWAY FOODS INTERNATIONAL NIGERIA LIMITED                                                                                                                                                             ,3010010006,'08000000000,"16,AlahunOzumbaStreet,Mazamaza,Mile2,",APAPA                                   ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
GAC SHIPPING (NIGERIA) LIMITED.                                                                                                                                                                         ,3010010007,'08000000000,"AfprintCompound,Apapa/OshodiExpressWay,IsoloIndustrialEstate",APAPA                                   ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
INTERNATIONAL FOUNDATION FOR CHRISTIAN UNITY                                                                                                                                                            ,3010010008,0023480330375564    ,"2-4,EdeStreet,Lagos",APAPA                                   ,LAGOS,INT'L FOUNDATION FOR CHRISTIAN,UNITY                         ,0023480330375564    ,IFCHRISTIANUNITY@YAHOO.COM                                                                                                                                                                              
SALENAB NIGERIA LIMITED                                                                                                                                                                                 ,3010010009,002348035550000     ,"281,OldOjoRoad,Oluti-Amuwo,Lagos",APAPA                                   ,LAGOS,SALENAB NIG. LTD              ,ROLA ABOU-HASSAN              ,002348055660000     ,RAMZI@LFSIGN.COM                                                                                                                                                                                        
DADDO MARITIME SERVICES LIMITED                                                                                                                                                                         ,3010010010,014600595           ,"25,CreekRoad,Lagos",APAPA                                   ,LAGOS,DADDO MARITIME SERVICES       ,MOHAMMED TAFIDA               ,0023408033272785    ,operations@daddogroup.com                                                                                                                                                                               
INTERNATIONAL NAVAL SURVEYS BUREAU                                                                                                                                                                      ,3010010011,'08000000000,"9,WharfRoad,",APAPA                                   ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
THE HONDA PLACE                                                                                                                                                                                         ,3010010016,018524444           ,"8,LiverpoolRoad,Gra-Apapa",APAPA                                   ,LAGOS,THE HONDA PLACE               ,APAPA                         ,'08000000000,noemailaddress@thiscorporate.com
SYLKEN LIMITED                                                                                                                                                                                          ,3010010018,'08000000000,"11/13,BurmaRoad,Lagos",APAPA                                   ,LAGOS,SYLKEN LTD                    ,APAPA                         ,'08000000000,noemailaddress@thiscorporate.com
OBOKUN EXPRESS LIMITED                                                                                                                                                                                  ,3010010021,002348034677423     ,"20,KofoAbayomiStr,Lagos",OSHODI                                  ,LAGOS,OBOKUN EXPRESS LTD            ,OSHODI                        ,002348034677423     ,info@obokun.com                                                                                                                                                                                         
OUTREACH MEDICAL SERVICES LTD.                                                                                                                                                                          ,3010010023,'08000000000,"7,AjisegiriStreet,OffLadipoBusStop",FESTAC TOWN                             ,LAGOS,OUTREACH MEDICAL SERV. LTD.   ,FESTAC                        ,08090679366         ,noemailaddress@thiscorporate.com
AVIS NIGERIA                                                                                                                                                                                            ,3010010025,'08000000000,"C/OOutreachChildren'SHospital,4ThAvenueBy3RdAvenue,Lagos",APAPA                                   ,LAGOS,AVIS NIGERIA                  ,APAPA                         ,'08000000000,info@avisng.com                                                                                                                                                                                         
PRUDENTIAL GUARDS LIMITED                                                                                                                                                                               ,3010010026,017743357           ,"6,AvisHouse,DegemaClose,OffParkLane",IKOTA                                   ,LAGOS,PRUDENTIAL GUARDS LTD         ,IKOTA                         ,'08000000000,pgs@servtrust.com                                                                                                                                                                                       
REDSTAR OIL AND GAS LTD.                                                                                                                                                                                ,3010010027,017359813           ,"Km14,LagosEpeExpressWay,Ikota,Lagos.",APAPA                                   ,LAGOS,SHAMSIDEEN AMINU              ,KOFA                          ,'08000000000,redstaroil@yahoo.com                                                                                                                                                                                    
KOPUL DENTAL CLINIC                                                                                                                                                                                     ,3010010029,017450089           ,"9,WharfRoad,Lagos.",APAPA                                   ,LAGOS,KOPUL DENTAL CLINIC           ,APAPA                         ,'08000000000,kopuldental@kopul.com                                                                                                                                                                                   
VEGASIRIUS NIGERIA LTD                                                                                                                                                                                  ,3010010030,0817462250          ,"3-5,EdeStreet,Lagos.",APAPA                                   ,LAGOS,DONATUS                       ,A.                            ,'08000000000,d.agbim@yahoo.com                                                                                                                                                                                       
FLOUR MILLS OF NIGERIA PLC                                                                                                                                                                              ,3010010032,07056893399         ,"33,CreekRoad,Lagos.",APAPA                                   ,LAGOS,A. O.                         ,ADEBEKUN                      ,'08000000000,oadebekun@fmnplc.com                                                                                                                                                                                    
RO-MARONG NIGERIA LTD                                                                                                                                                                                   ,3010010033,017768571           ,"2,OldDockRoad,Lagos.",AMUWO                                   ,LAGOS,G.                            ,SIVA                          ,'08000000000,balank@ro-marong.ws                                                                                                                                                                                     
OAN OVERSEAS AGENCIES NIG. LTD.                                                                                                                                                                         ,3010010034,08165071611         ,"Plot2,BlockA,AmuwoOdofinIndustrialEstate",APAPA                                   ,LAGOS,ALASI                         ,ADENIYI                       ,'08000000000,niyi.alasi@oan-agency.com                                                                                                                                                                               
UNION REGISTRARS LIMITED                                                                                                                                                                                ,3010010035,'08000000000,"22,CreekRoad,Lagos.",APAPA                                   ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
SOPRACOS LTD                                                                                                                                                                                            ,3010010037,2348123433033       ,"2,BurmaRoad,Lagos.",APAPA                                   ,LAGOS,MOHAMED                       ,BEYDOUN                       ,'08000000000,sopracosltd2013@gmail.com                                                                                                                                                                               
SHAN AUDIOVISUAL LTD                                                                                                                                                                                    ,3010010042,08033214348         ,"10,SolomonAgbontaenOffEleganzaPlaza,Lagos.",BADAGRY EXPRESS                         ,LAGOS,SAYROZ                        ,MUKHIDA                       ,'08000000000,shantrading_nigeria@yahoo.com                                                                                                                                                                           
A.M.G. LOGISTICS NIG.LTD.                                                                                                                                                                               ,3010010046,09091999817         ,"Plot3B,ChristliebEstGeorgeVill,Tedi,OffBadagryRoad",APAPA                                   ,LAGOS,MARK                          ,DAOOD                         ,'08000000000,babatunde.jimoh@logistic.com                                                                                                                                                                            
DIGISOL NIGERIA LIMITED                                                                                                                                                                                 ,3010010047,08152629338         ,"7C,CreekRoad,",MILE 2                                  ,LAGOS,AFOLABI                       ,OMOWUNMI                      ,08029486123         ,info@dressrite.com.ng                                                                                                                                                                                   
VE - SHELL LIMITED                                                                                                                                                                                      ,3010010049,08108764277         ,"Plot2255,ByFestacLinkBridge,Lagos.",APAPA                                   ,LAGOS,VICTOR                        ,OSHODIN                       ,'08000000000,noemailaddress@thiscorporate.com
ENL CONSORTIUM LTD.                                                                                                                                                                                     ,3010010051,08034006681         ,"ShopI.10MammyMarket,ArakanBarracks,Lagos",APAPA                                   ,LAGOS,BOYE                          ,UZAMOT                        ,'08000000000,noemailaddress@thiscorporate.com
ESSENCE CRAVINGS VENTURES                                                                                                                                                                               ,3010010054,08033355811         ,"26,BurmaRoad,Lagos.",FESTAC                                  ,LAGOS,CHINENYE                      ,SANDRA OGBOLU                 ,'08000000000,chi.san.ogb@gmail.com                                                                                                                                                                                   
XNETMAIL SECURITY TECHNOLOGIES LTD                                                                                                                                                                      ,3010010060,08024396166         ,"211Road,AClose,Plot2163,FestacTownLagos.",AMUWO                                   ,LAGOS,REMI                          ,SHONIBARE                     ,'08000000000,REMI.SHONIBARE@XNETNIGERIA.COM                                                                                                                                                                          
SUNDRY PRODUCTS & SERVICES LTD                                                                                                                                                                          ,3010010061,08020303200         ,"InterlandHousePlotC40AlakosoWayAmuwo-OdofinIndustrialLayout,Lagos",OJO                                     ,LAGOS,OSARIEMEN                     ,UWADIAWE                      ,'08000000000,SUNDRYPRODUCTSERVICES@GMAIL.COM                                                                                                                                                                         
FAIRFIELD TECHNOLOGIES LTD - (AFFINITY SOLUTIONS)                                                                                                                                                       ,3020010107,08033018436         ,"Suite10,NowaComplex,2NdAvenue,NavyTown",IKEJA                                   ,LAGOS,MOHAMMED                      ,BANKOLE - HAMEED              ,07033713334         ,bankie@fairfieldtec.com                                                                                                                                                                                 
SPECTRUM INNOVATIONS TECHNOLOGIES LTD                                                                                                                                                                   ,3020010116,07018232148         ,"Unit10,MotorwysPlaza,Ikosi-Alausa,Lagos.",IKEJA                                   ,LAGOS,YEMI                          ,ADESOMOJU                     ,'08000000000,INFO@SPECTRUMPHONES.COM                                                                                                                                                                                 
CHREMA TECHNOLOGIES LIMITED                                                                                                                                                                             ,3020010117,08023674843         ,"18,OtigbaStreet,ComputerVillage,Lagos.",IKEJA                                   ,LAGOS,RICHARD                       ,OGBUJI                        ,'08000000000,INFO@CHREMATECH.COM                                                                                                                                                                                     
STANLEY AND COOPER NIGERIA LIMITED                                                                                                                                                                      ,3020010128,08063745784         ,"28,SamuelAwoniyiStreet,OffSalvationB/Stop,Lagos.",IKEJA                                   ,LAGOS,MONDAY O                      ,ADEJOH                        ,'08000000000,OMOLADE@ADMISSIONMANAGERS.COM                                                                                                                                                                           
JOLADI STORES - (ALADI EGBUNU)                                                                                                                                                                          ,1200000120,08138806944         ,"77,OpebiRoad,OppFirstNationAirline,Lagos.",IBUSA                                   ,DELTA,ALADI                         ,EGBUNU                        ,'08000000000,joladistores@gmail.com                                                                                                                                                                                  
NATIONAL INDUSTRIAL COURT OF NIGERIA - ASABA                                                                                                                                                            ,7060020004,08060973746         ,"StoreNo2,KeffasRoad,Ibusa-DeltaState,Nigeria.",ASABA                                   ,DELTA,NKONYE                        ,MARY JANE                     ,07041502291         ,chiomamj@gmail.com                                                                                                                                                                                      
AMAZING PRODUCTS - (NWOSU CHRISTIAN C.)                                                                                                                                                                 ,1200000223,08037361325         ,"DbsRoad,DeltaState",AWKA                                    ,ANAMBRA,CHRISTIANC                    ,NWOSU                         ,'08000000000,CHRISTOL100@GMAIL.COM                                                                                                                                                                                   
GROODA JEWEL - (ONYEJIAKA UCHECHUKWU)                                                                                                                                                                   ,1200000317,08068310143         ,"GmbMicroFinanceBank,EkeMarketSquare,Nibo,AnambraState",AWKA                                    ,ANAMBRA,ONYEJIAKA                     ,UCHECHUKWU                    ,'08000000000,SMASHERGOLD@GMAIL.COM                                                                                                                                                                                   
EONIGMA VENTURES (PRICE CRASH)                                                                                                                                                                          ,3015010020,08087401435         ,"4-6,WorksRoad,",BARIGA                                  ,LAGOS,IBE                           ,WILLIAMS I.                   ,'08000000000,eonigma11@yahoo.com                                                                                                                                                                                     
STARCOMMS PLC - BAUCHI                                                                                                                                                                                  ,6020010002,07028000094         ,"12,Jola-OshoStreet,Ilaje-Lagos",BAUCHI                                  ,BAUCHI,STARCOMMS PLC                 ,BAUCHI                        ,'08000000000,noemailaddress@thiscorporate.com
Nnamdi Judge Dim                                                                                                                                                                                        ,1200000013,07069351316         ,Bauchi,BENIN CITY                              ,EDO,Nnamdi                        ,Dim                           ,'08000000000,dimnnamdi@yahoo.com                                                                                                                                                                                     
ELLIES BEDDING COLLECTION                                                                                                                                                                               ,1200000018,07057007631         ,"St24,Flat29.FederalHousingEstate,Aduwawa",BENIN CITY                              ,EDO,CHIGBOLU                      ,ANWULI ELSIE                  ,'08000000000,info@elliesbeddings.com                                                                                                                                                                                 
BELMART STORES                                                                                                                                                                                          ,1200000040,08038842895         ,"5,AghoStreet,SapeleRoad",BENIN CITY                              ,EDO,EDOMWONYI                     ,BELLO                         ,'08000000000,belmartstores@gmail.com                                                                                                                                                                                 
REP TECHNOLOGIES (KENNETH EDOBOR)                                                                                                                                                                       ,1200000055,08131132866         ,"40,PlymouthRoad",BENIN CITY                              ,EDO,EDOBOR                        ,KENNETH                       ,'08000000000,noemailaddress@thiscorporate.com
GLOBALDEAL INVESTMENT - (ABDUL SHAKA)                                                                                                                                                                   ,1200000180,07031082343         ,"14,NewLagosRoad,",BENIN CITY                              ,EDO,ABDUL                         ,SHAKA                         ,'08000000000,naijaextra@gmail.com                                                                                                                                                                                    
GENITH INT'L LTD - (TOCHUKWU MADUABUCHI)                                                                                                                                                                ,1200000220,08032058695         ,Eyeon,BENIN CITY                              ,EDO,TOCHUKWU                      ,NWAOKAFOR                     ,'08000000000,GENITH@GMAIL.COM                                                                                                                                                                                        
CHIDORAS STORES - (GIDEON OGWUDILE)                                                                                                                                                                     ,1200000270,08066767188         ,"13,JamesWatt",BENIN CITY                              ,EDO,GIDEON                        ,OGWUDILE                      ,'08000000000,GIDEONDILE@GMAIL.COM                                                                                                                                                                                    
SUCCESS IMPACT ENT. - (PST. ISERHIENRHIEN UYI PATRICK)                                                                                                                                                  ,1200000271,07036424670         ,"C205,FederalHousingEstate,Aduwawa",BENIN CITY                              ,EDO,UYI PATRICK                   ,ISERHIENRHIEN                 ,09097207790         ,PSTIUPATRICK@GMAIL.COM                                                                                                                                                                                  
MICROCRAFT INTERNATIONAL - (KINGSLEY OMORUJI)                                                                                                                                                           ,1200000273,08062522870         ,"25,1StIbiweStreet,RingRoad,EdoState",BENIN CITY                              ,EDO,KINGSLEY                      ,OMORUYI                       ,'08000000000,MICROCRAFT@YAHOO.COM                                                                                                                                                                                    
POVERA & DRASON - (RUTH EHIARIMWIAN)                                                                                                                                                                    ,1200000274,08036666999         ,"39,AdesuwaRoad,Gra",BENIN CITY                              ,EDO,RUTH                          ,EHIARIMWIAN                   ,'08000000000,POVERIA.DRASON@YAHOO.COM                                                                                                                                                                                
F&N - (FORTUNE BUOWE)                                                                                                                                                                                   ,1200000279,09021558115         ,"AbiShoppingMall,16,ObaEwekaStreet,ByOniStrJunction,Gra-BeninCity",BENIN CITY                              ,EDO,NANCY                         ,BUOWE                         ,'08000000000,BUOWEFORTUNE@GMAIL.COM                                                                                                                                                                                  
FRUITY VINE STORES - (CONSTANCE OSARENOMA ONAIWU)                                                                                                                                                       ,1200000299,08098769422         ,"7,LibertyAvenue,OffBoundaryRoad,Gra",BENIN CITY                              ,EDO,CONSTANCE OSARENOMA           ,ONAIWU                        ,08027115848         ,MKTLADY1@GMAIL.COM                                                                                                                                                                                      
MY HAIR AND I - (UGBOKA SCHOLASTICA)                                                                                                                                                                    ,1200000305,08165527465         ,"45,AirportRoad,ByUbaPlc",BENIN CITY                              ,EDO,SCHOLARSTICA                  ,UGBOKA                        ,'08000000000,FABULUXXSCHOLAR@GMAIL.COM                                                                                                                                                                               
KAYS FITTINGS - (KAREN OGWUMA)                                                                                                                                                                          ,1200000347,08077251111         ,"UgbowoRoad,Benin",ABUJA                                   ,EDO,KAREN                         ,OGWUMA                        ,'08000000000,KAYSFITTINGS0211@GMAIL.COM                                                                                                                                                                              
KUBEBAGS - (ULOKO OSSY)                                                                                                                                                                                 ,1200000348,07054794998         ,"Plot345,DawakiExtension,NewsEngineeringConstructionCompany",BENIN CITY                              ,EDO,OSSY                          ,ULOKO                         ,'08000000000,OSSY-2G2@YAHOO.COM                                                                                                                                                                                      
ECO BANK NIGERIA PLC - BENIN                                                                                                                                                                            ,4010010002,'08000000000,"D3,OmoregieWay,AirportRoad",BENIN CITY                              ,EDO,Godspower                     ,Chukwuka                      ,08034696997         ,noemailaddress@thiscorporate.com
ZENITH BANK PLC - BENIN (AKPAKPAVA RD)                                                                                                                                                                  ,4010010003,'08000000000,"55,AkpakpavaRoad,",BENIN CITY                              ,EDO,VICTOR                        ,OYAKHIRE                      ,08039567228         ,noemailaddress@thiscorporate.com
LEADWAY ASSURANCE COMPANY                                                                                                                                                                               ,4010010009,'08000000000,"86,AkpakpavaRoad,",BENIN CITY                              ,EDO,EMMANUEL                      ,ESIERUMUA                     ,08023632707         ,noemailaddress@thiscorporate.com
ZENITH BANK PLC - BENIN - AGBOR RD                                                                                                                                                                      ,4010010010,'08000000000,"84,AkpakpavaStreet,",BENIN CITY                              ,EDO,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
ZENITH BANK PLC - AGBOR BRANCH                                                                                                                                                                          ,4010010011,'08000000000,"107,Benin-AgborRoad,IkpobaHill",BENIN CITY                              ,EDO,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
MADONA ORGANISATION LIMITED                                                                                                                                                                             ,4010010013,'08000000000,DeltaState,BENIN CITY                              ,EDO,MADONA ORGANISATION LIMITED   ,BENIN                         ,08053803721         ,MADONAORG@YAHOO.COM                                                                                                                                                                                     
ZENITH BANK PLC - BENIN (UROMI BRANCH)                                                                                                                                                                  ,4010010017,'08000000000,"118,MmWay,EdoState",BENIN CITY                              ,EDO,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
LASACO ASSURANCE PLC - BENIN                                                                                                                                                                            ,4010010021,'08000000000,"20,MissionRoad,Uromi,EdoState",BENIN CITY                              ,EDO,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
STARCOMMS PLC - BENIN CITY                                                                                                                                                                              ,4010010023,'08000000000,"90,AkpakpavaStreet",BENIN CITY                              ,EDO,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
NIGERIAN BREWERIES PLC - BENIN                                                                                                                                                                          ,4010010025,'08000000000,"60,AirportRoad,",BENIN CITY                              ,EDO,NIGERIA BREWRIES PLC          ,BENIN                         ,08054761507         ,noemailaddress@thiscorporate.com
LADITH PHARMACEUTICAL CO. LTD.                                                                                                                                                                          ,4010010026,052975973           ,"42,IhamaRoad,EdoState",BENIN CITY                              ,EDO,LADITH PHARMACEUTICAL         ,BENIN                         ,'08000000000,LADITHPHARM@YAHOO.COM                                                                                                                                                                                   
FIDELITY BANK PLC - BENIN                                                                                                                                                                               ,4010010027,'08000000000,"59,OreOgheneStreet",UROMI                                   ,EDO,FIDELITY BANK                 ,UROMI                         ,'08000000000,noemailaddress@thiscorporate.com
FEDERAL INLAND REVENUE SERVICES                                                                                                                                                                         ,4010010028,'08000000000,"MissionRoad,EdoState",BENIN CITY                              ,EDO,FIRS                          ,BENIN                         ,'08000000000,noemailaddress@thiscorporate.com
LIVESTOCK FEEDS PLC                                                                                                                                                                                     ,4010010029,08027598460         ,"53,AirportRoad,",BENIN                                   ,EDO,LIVESTOCK FEEDS PLC           ,"PLOT 127, SAPELE ROAD         ",'08000000000,noemailaddress@thiscorporate.com
"NNPC - MEDICAL ZONE, (NNPC BENIN MEDICAL SERVICES)                                                                                                                                                      ",4010010030,08055481100         ,"Plot127,SapeleRoad",BENIN CITY                              ,EDO,DR. SHAIBU                    ,M.                            ,'08000000000,noemailaddress@thiscorporate.com
HATTABELLES COUTURE                                                                                                                                                                                     ,1200000079,08037135507         ,"5,EraborAvenue,OffGiwaAmuStreet,GraBenin",CALABAR                                 ,CROSS RIVER ,NKESE                         ,AKINWUNMI                     ,'08000000000,keslafire@yahoo.com                                                                                                                                                                                     
GLOBAL FRONT SHOP - (JANET AWAH)                                                                                                                                                                        ,1200000085,08054746027         ,"76NdidemUsangIsoRoad,ByPeacelandPharmacy,OppositeCalabarMunicipalityCalabar",CALABAR                                 ,CROSS RIVER ,JANET                         ,AWAH                          ,'08000000000,gfshops@gmail.com                                                                                                                                                                                       
PATITO INFOTECH - (OKOH PATRICK CHINEDU)                                                                                                                                                                ,1200000172,08032449594         ,"21,EdibaClose",CALABAR                                 ,CROSS RIVER ,PATRICK                       ,OKOH                          ,'08000000000,patitowed@gmail.com                                                                                                                                                                                     
XXTIENY BOUTIQUE - (SENAM EKPO)                                                                                                                                                                         ,1200000310,07066871939         ,"2,EttagborRoad,Opp.OnitshaSouthTransportCompany,",CALABAR                                 ,CROSS RIVER ,SENAM                         ,EKPO                          ,09031674586         ,XXTIENYLIMITED@YAHOO.COM                                                                                                                                                                                
RAYNOLDS CONSTRUCTION COMPANY - CALABAR                                                                                                                                                                 ,7050010003,'08000000000,"Plot134,NdidemUsangIsoRoad",CALABAR                                 ,CROSS RIVER ,RCC CALABAR                   ,SHALOM                        ,08037280133         ,ALFASI@RCCNIGERIA.COM                                                                                                                                                                                   
STALLION MOTORS LTD - CALABAR                                                                                                                                                                           ,7050010005,08671091242         ,Akamkpa,CALABAR                                 ,CROSS RIVER ,STALLION MOTORS LTD           ,CALABAR                       ,'08000000000,calabarws@stalliongroup.com                                                                                                                                                                             
LEADWAY ASSURANCE COMPANY LIMITED (CALABAR AGENCY)                                                                                                                                                      ,7050010006,07038114110         ,"Plot7,BlockJ,NorthernInd.Estate,MmHighway",CALABAR                                 ,CROSS RIVER ,GLORIA                        ,USHIE                         ,08034601064         ,FIDELISEWONA@YAHOO.COM                                                                                                                                                                                  
Logwin Air + Ocean Middle East LLC                                                                                                                                                                      ,9010010006,+971 4 397 93 33    ,"141,NdidemUsangIsoRoad,Marian",DUBAI                                   ,,Rejitha                       ,Venu                          ,+971 50 4582188     ,rejitha.venu@logwin-logistics.com                                                                                                                                                                       
ECO BANK NIGERIA PLC - DUTSE                                                                                                                                                                            ,6060010003,'08000000000,"P.O.Box119796901,Al-MusallaTowerKhalidBinAlWaleedStreetDubai,U.A.E",DUTSE                                   ,JIGAWA,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
GOVERNMENT HOUSE - DUTSE                                                                                                                                                                                ,6060010004,08036830019         ,"SaniAbachaWay,JigawaState",DUTSE                                   ,JIGAWA,GOVERNMENT HOUSE DUTSE        ,SULEIMAN A.                   ,'08000000000,noemailaddress@thiscorporate.com
PROMOFASHIONWORLD - (ASIEGBU MACDONALD N.)                                                                                                                                                              ,1200000313,08120140015         ,Dutse-JigawaState,EFFURUN                                 ,DELTA,MACDONALD N.                  ,ASIEGBU                       ,'08000000000,MACDONALDASIEGBU@GMAIL.COM                                                                                                                                                                              
"STERLING BANK PLC - EFFURUN (71, EFFURUN SAPELE ROAD BRANCH)                                                                                                                                            ",7060010037,08075292861         ,"OgheneovoClose,ByOgbeAvenue,ByPtiRoad,Opp.PtiGate,DeltaState",EFFURUN                                 ,DELTA,OSANEBI                       ,C.                            ,'08000000000,noemailaddress@thiscorporate.com
"PETROLEUM TRAINING INSTITUTE

EFFURUN                                                                                                                                                                   ",7060010039,08072301680         ,"71,EffurunSapeleRoad",EFFURUN                                 ,DELTA,IHENWOSU                      ,O.C.R.                        ,'08000000000,rickyobun@yahoo.com                                                                                                                                                                                     
SOGA SILVER LTD - (CHINEDU UKAWUBE)                                                                                                                                                                     ,1200000254,07031800582         ,"PtiRoad,",EGBEDA                                  ,LAGOS,CHINEDU                       ,UKAWUBA                       ,'08000000000,CHINEDU.UKAWUBE@GMAIL.COM                                                                                                                                                                               
PEARL BRIDES AND KIDS - (OVWIOVWIO OJEVWE BLESSING)                                                                                                                                                     ,1200000314,07065210164         ,"17,AyoOluyemiCrescent,OffDayoOlowoStreet,OrelopeEgbeda",EKPAN                                   ,DELTA,OJEVWE BLESSING               ,OVWIOVWIO                     ,'08000000000,YVVONE4RIL@GMAIL.COM                                                                                                                                                                                    
